intent,patterns,response_en,response_ml
crop_disease,How to manage Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Solution for Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Solution for Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to treat Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Ways to cure Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to treat Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to manage Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Cure for Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Solution for Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to manage Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Cure for Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to treat Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Cure for Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to manage Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Remedy for Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Remedy for Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Ways to cure Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Cure for Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to treat Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Solution for Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to treat Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to manage Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Remedy for Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to treat Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to manage Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Cure for Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to manage Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Remedy for Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Solution for Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Ways to cure Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to treat Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Solution for Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to treat Apple   Black rot,Remove infected fruit and apply fungicide,ബാധിത പഴങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Cure for Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Treatment of Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Treatment of Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Cure for Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,How to manage Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,How to manage Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Ways to cure Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Ways to cure Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Ways to cure Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,How to treat Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,How to manage Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Cure for Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Cure for Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Cure for Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Cure for Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Remedy for Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Ways to cure Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,How to treat Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Treatment of Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,How to manage Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,How to manage Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,How to treat Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Remedy for Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Solution for Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,Cure for Apple   Cedar apple rust,Use resistant varieties and fungicide spray,പ്രതിരോധ ശേഷിയുള്ള ഇനങ്ങളും ഫംഗിസൈഡ് സ്പ്രേയുമുപയോഗിക്കുക
crop_disease,How to treat Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Ways to cure Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Treatment of Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Treatment of Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,How to manage Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,How to treat Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,How to treat Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Remedy for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Cure for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Ways to cure Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Cure for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Treatment of Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Ways to cure Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Remedy for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Cure for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,How to treat Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Remedy for Apple   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Remedy for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Remedy for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,How to manage Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,How to manage Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Ways to cure Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Cure for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Remedy for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,How to treat Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Remedy for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Cure for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Treatment of Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Remedy for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Ways to cure Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Treatment of Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Remedy for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,How to treat Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Solution for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Cure for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Remedy for Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Ways to cure Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Ways to cure Blueberry   healthy,No disease detected. Maintain proper care,രോഗം കണ്ടെത്തിയില്ല. ശരിയായ പരിചരണം പാലിക്കുക
crop_disease,Ways to cure Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Solution for Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Cure for Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Remedy for Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Cure for Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Ways to cure Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to treat Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to treat Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Cure for Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Remedy for Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Remedy for Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Ways to cure Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Cure for Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to manage Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to treat Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Solution for Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Remedy for Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Ways to cure Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Ways to cure Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Ways to cure Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Solution for Cherry (including sour)   Powdery mildew,Apply sulfur-based fungicide,സൾഫർ അധിഷ്ഠിത ഫംഗിസൈഡ് പ്രയോഗിക്കുക
